overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style,image
1.0,False,"01 11, 2010",A20DZX38KRBIT8,B000KRXA28,Deimos,"This game is boring, stupid, not fun, poor controls and the characters are not interesting.  If your a mystery fan, get MYST, or anything other than this.  The only mystery here is why this game was made and who would have the time to waste on it.",Fun as watching grass grow.,1263168000,2,,
1.0,False,"06 26, 2012",AR1MXQV2G1H4C,B00178630A,Miles O&#039;Smiles,"Connection issues aside, the first week or two of the game was a lot of fun.  Then it went all downhill.  Between Blizzard's constant patches that ""fix"" the game (which actually make it less and less enjoyable with each new ""fix""), server downtime that affects your ability to play any part of the game (including single player), and the diminishing player base, the game has become a stressful time sink that I wish I had never wasted a penny on.",Don't waste your money,1340668800,10,{'Format:': ' Computer Game'},
1.0,True,"12 27, 2012",A1P08JGC3QHMXZ,B000XYJ4PU,Stacy F.,"Very disappointed in this product. The guitar completely didn't work - just dead. In researching how to possibly solve the problem, I found online that the guitar was a known defective model as acknowledged by the original company that made it in 2006! That company was acquired and doesn't even exist anymore. Just terrible to have this sold as a new item. My son got this as a gift from Santa on Christmas morning and was not only disappointed, but confused how anything from Santa could just be broken and not work. Thank goodness Amazon is great with their return policy, and taking it back with full credit. Couldn't even find a phone number for the actual seller to see if they can do a replacement more easily. Just bought a replacement - and different bundle, from another seller.","Didn't work, and turned out to be known problem",1356566400,5,"{'Edition:': ' Wired bundle', 'Platform:': ' Xbox 360'}",
1.0,False,"01 31, 2002",A15ACEDLJH40WO,B00005O0I7,Baby Mario,"This controller feels like you are holding a big rock. There is no comfort in it! The buttons are also hard to reach if you have small hands-no, scrub that, if your hands aren't the size of a regular pumpkin.",What useless crud...,1012435200,3,,
1.0,True,"07 30, 2017",A2B0LOXE97QUG0,B00LH6C8L0,TyvanTV,"Not a good game and I can prove it.
TyvanTV @ Youtube",Not a good game and I can prove it.,1501372800,,"{'Edition:': ' Limited', 'Platform:': ' Xbox One'}",
1.0,False,"06 6, 2010",A39S6ONDFHQ59C,B00269QLJ2,A. Deguglielmo,"After playing such a fun game like Call of Duty 4 on the PC you'd figure the sequel would be something worthwhile. If that was your thought process, then you were dead wrong.

  First off, let me start with the campaign. You play as several characters. During the single-player campaign, the player controls five different characters from a first-person perspective. For the majority of the game, the player assumes the role of Sergeant Gary ""Roach"" Sanderson, a member of an elite, multi-national commando unit known as Task Force 141. However, the player begins the game through the eyes of Private First Class Joseph Allen, a Ranger stationed in Afghanistan, who later goes undercover in Russia for the CIA under the alias of ""Alexei Borodin."" Private James Ramirez, a member of 1st Battalion 75th Ranger Regiment stationed in the United States, serves as the player character during the defense of the United States eastern coast against a Russian invasion. John ""Soap"" MacTavish returns as a non-playable character for most of the game, but once again becomes the player character in the final three missions. In the five years since Call of Duty 4 took place, he has been promoted to the rank of captain in the Special Air Service. He now commands most of Task Force 141 and its field operations, acting as the superior officer of Sanderson. The player also briefly assumes the role of an unnamed International Space Station astronaut during an EVA in the minute or so prior to the station's destruction.

  The campaign is fun and takes you to many parts of the world, and there is a special game mode called ""Spec Ops"" in which you have a certain objective you must complete. These both have little replay value and therefore I'm basing my opinion of the game on the multiplayer aspect.

  Where do I even start with the multiplayer? First off, you have to link your multiplayer account to something called Steam, which is a gaming website/program. This means if you plan to re-sell the game, think again because this makes it close to impossible. Next, there's no dedicated servers. That's right. That means that whichever player hosts the game will usually have the advantage because he has the best connection. It is very difficult to connect to multiplayer online and when you do, you'll be lucky to get an entire match in. Hackers released a patch for the game which allowed dedicated servers but Infinity Ward quickly dealt with them. Another major flaw is no mods. Call of Duty 4 for PC allowed you to use mods which made the game more fun and addictive but for whatever reason Infinity Ward took them out.

  Ok so now that I've talked about the connection issues, let's get to the actual gameplay. It is very similar to the previous Call of Duty, except with improved graphics and some new guns. The new perks and weapon attachments can be really cheap and give players a far superiority over you, same thing with the weapons. This can make the game extremely frustrating. Also, the new selectable killstreaks can be annoying sometimes. Other than that, leveling up and prestiging can become old, repetitive, and boring.

  So my final words of advice to you: stay away from this game. Save yourself some money, time, and frustration.","Really, Infinity Ward?",1275782400,2,{'Format:': ' Video Game'},
1.0,True,"02 25, 2010",A1N4DHAS3OSS64,B0016BVYAM,Eman,"I probably have over 100 PC games that I have purchased through the years starting with Myst and ending with this one and ME2. If you liked the first one you'll probably like this except for the additional stuff like a NON-TRANSFERABLE LICENSE CODE. When I installed the game I was told the install code I entered was permanently attached to my GFW Live account and non transferable. This is on top of the other stuff that has been complained about. My take on this is they just killed the used PC game market for Bioshock 2. This offends me and helped me decide to never purchase another PC game that requires Games for Windows Live, non transferable license codes, or an always on internet connection like C&C4 will require. I think if PC games are moving toward this type of anti-piracy nonsense it's time to call it quits. There is a very disturbing trend in DRM that really does punish the honest people and seems to energize the pirates every time they crack a new game. This one was cracked the day it was released. It really is too bad 2K took a beautiful and fun game and ruined it like this. I guess I'll just wait for the used console games from now on.",Good game but be aware...,1267056000,12,{'Format:': ' Video Game'},
1.0,False,"08 6, 2012",A26X3E8EKL9H5S,B000FQ2DTA,Amazon Customer,"Whether you're a fan or not, this is unequivocally the absolute worst single player Final Fantasy - worst single player JRPG - you could possibly imagine.

All this game accomplished was to show us that the crystal dynamics engine can be pretty. It was a $60 tech demo. The story is quite good - however, the absolutely stale and aggravating game progression, disheartening battle system which relies entirely upon rapid paradigm shifts and undeserved trust in your AI partners, miserable voice acting (excluding lightning, snow, and hope) and overall offensive packaging of this ""game"", will leave you gnashing your teeth and forsaking the entirety of Japan.

The battle system is atrocious. The only times it truly shines are in boss fights, and more often than not, you are too busy trying not to get utterly destroyed to appreciate how well it actually does work in those rare occasions.

The summons are entirely pointless and were only put in the game arbitrarily, because most FF games have summons - Eidolons have been in the game before. You can only use one eidolon in a battle, and probably only once. Only the party leader can use their eidolon. Eidolons really don't do much damage, either.

There are no towns. There's one big town, aka planet like Coruscant, but even within that town you don't ever experience a traditional RPG experience where you go in Inns and shoppes and whatnot. You do all your shopping through computer terminals.

The upgrades are a very poorly explained system and frankly, just annoying. The characters are all JRPG cookie cutter archetypes, with bad costumes tossed on them - one of them completely bleeding with racial stereotypes.

By the end of the game, if you suffer long enough to make it to Orphan's Cradle, you'll hate it. You'll fight only massive groups of enemies, each of which can easily kill your entire party on its own. Assuming you care enough to make it through the last chapter, you'll get a disappointing ending.

Even though its maybe 20 bucks, don't waste your money. Please don't.",Worst Single Player FF ever,1344211200,4,{'Format:': ' Video Game'},
1.0,False,"07 10, 2012",A3J8ABVGK7ZL6H,B00005RCQR,Ishmael,"I am a very big MK fan. I've been dedicated to the series since it was first released on the home consoles back in Sept of 1993. That being said. I heard from alot of people how bad this game was,but as a TRUE fan of MK,I thought they didin't know what they were talking about and It really couldn't be all THAT bad. I was sooooo wrong!! This game is a total disgrace to the Mortal Kombat name. It's basically just Ultimate MK3,but IT IS HORRIBLE! You only got two buttons to work with,along with the d-pad of course,but it is SOOOO HARD!..and as I said,I'm an MK vet. I could not even get past the first fight. All Scorpion did was just block. Every punch or kick I tried to hit him with,he would just block. Another thing. It is almost impossible to pull off a special move. The cpu just kicks your ass,before you even have a chance to attack. Bottom line. This game sucks. You're better off just picking up MKII for the original Gameboy instead. Stay away from this worthless piece of little plastic!!!",Huge Waste Of Time!!!,1341878400,,,
1.0,True,"03 17, 2014",A3B23E9UAR2SZE,B009D4JW3U,erica8123,This controller always freezes and needs reset.  I am actually on here now to order the actual Nintendo one.  I will keep this one for the young kids.,Buy the Wii U one,1395014400,,,
1.0,False,"03 3, 2017",A1RIBUHXCBEZQD,B000PT18OS,Ryan Tripp,Don't waste your time. I made a short stop to gamestop and picked up what I actually needed for $10.,Didn't recieve item pictured.,1488499200,,,
1.0,True,"01 2, 2016",A18LV58SOCYHI4,B00FMB3B0S,Dayz,This game did not work.,One Star,1451692800,,,
1.0,False,"06 1, 2001",A36JY9OON1VLG4,B00001XDKO,EvilFoo,"I don't know what everyone else sees in this game and why they consider it so addicting and cool, it, like Quake 3 is just mindless shooting only leaving you angry. Everyone in the UT community rocket jumps, a cheap way of getting a quick kill, and very annoying at the same time. This game is plagued with rocket jumping! There are alot of things I hate about this game, too many to list here anyway.",Horrible game!,991353600,,"{'Edition:': ' Standard', 'Platform:': ' PC'}",
1.0,True,"02 12, 2014",A1ONP9W8XPHVQD,B000UXOHOW,Cynthia McCarty,I found this game to be very old fashioned. Not up to date as far as graphics go. It reminded me more of a comic book.,Not up to date.,1392163200,,,
1.0,True,"04 4, 2012",AMSQ9BY4O8TQY,B006VB2UQ4,H. Yates,"No one is perfect BUT don't tell the customer to box and PAY TO RETURN the product, then wait 90 DAYS to try again!! I'm so happy I bought this through Amazon! Even Microsoft learned to hire 24/7 activation help. If a company is so rabid about protecting their games they need to make sure they are not abusing their customers!

NO I am not 'trying again' EA, you lost this sale!",Game came with WRONG KEY CODE!,1333497600,8,,
1.0,True,"03 20, 2011",AFY2MWSB3HI1C,B004NBZBME,GaryMickel,Could not fully install the game much less play it the install would only go so far then hang and stop.,"Cannot get this game to load completly,",1300579200,,{'Platform:': ' PC'},
1.0,True,"10 19, 2014",A1JHQ3O1D4TB9R,B001RNOQMW,Mamas Crew of 5,Makes batteries burning hot and doesn't release or hold on in some spots,Never buy again,1413676800,,{'Color:': ' White'},
1.0,False,"03 19, 2018",A19DTLPRRAOK7S,B00MUTAU18,Jerry Warriner,"The installation disc has a typographical error in one of the programs, so I copied the disc to a folder on my desktop, renamed the offending file and installed the program from there. However, the activation code failed a half-dozen times even though I have a Steam account. The disc is useless. The seller, Penelope Family Store, never responded to my email. Back it goes for a refund.",Disc was nothing but trouble,1521417600,,{'Platform:': ' PC'},
1.0,False,"09 1, 2013",AWDB0OCJHYZGW,B008SBZD9G,F Brazeau,"The game is a lot of fun if you can get on. There's no point in buying a game you cannot play due to over-congestion. WTF SE?
You fail again. I think this situation will definitely disappoint many to the point where we will just stop buying your games...",A Realm ReFAIL,1377993600,9,{'Format:': ' Video Game'},
1.0,True,"03 18, 2016",A238361SAPNVXM,B00DBDPOZ4,Nick,"Charging cord about 6"" long and must be plugged into an additional controller to charge the battery, charging indicator light does not work and the battery lasts about long enough after charging to get my main battery fully charged (which lasts me for 2-3 days).","Charging cord about 6"" long and must be plugged into ...",1458259200,,{'Format:': ' Video Game'},
1.0,False,"11 11, 2004",A1PD9G8DYDLYAQ,B0001CJCG0,Just Me,Despite the unsatisfied reviews of some people I am going to buy this game anyway. Mainly because I love Spyro and I want to own all the Spyro games. I just wish the Spyro Season of Fire and Spyro season of Ice were available for the PS2 format instead of just Gameboy!  :(,Going to buy,1100131200,5,,
1.0,False,"03 15, 2007",A26O4ZLM3H7B3H,B000GABOTA,T Boz,"After the hype Disney has given this game over the past several months, I was expecting something really special, and not a Pokemon rip-off as the company had promised.  Well, they got that part right, but not much else.  The game basically consists of you entering a level at one point, randomly digging all over the entire map, then searching for the exit.  There is no online multi-player as the 'Wi-Fi' logo on the box might lead you to believe, only local ad-hoc (that is, once you dig up the randomly placed cube needed to unlock that function).  You also have to locate other hidden cubes to unlock such basic features as say, using the cards that are included in the box.  Who thought up this genius idea?  This is a kid's game!  Another stinging point is no direct control over the Spectrobes themselves, just your main character who dies almost instantly any time he recives damage in a battle.  You can only use the L & R buttons to activate Spectrobes' attacks, while trying to position your player without dying.  This seems like an idea for a new franchise that was ruined by poor planning, or a desire to get the game out before Pokemon Diamond & Pearl.  Trust me, save your money for those games, as they are 100 times more fun and rewarding than this one.",This Game Sucks.,1173916800,10,,
1.0,False,"07 12, 2014",A3CLQZ22LQZOUX,B001C2RMJM,Cheri L. Lepage,Couldn't get it to work in my computer.,One Star,1405123200,,,
1.0,True,"01 6, 2017",AYFT2DR91VKW6,B00CFR7UC2,Justin H.,Too easy. I wanted a decent golf game and this is not it. Half of the courses are locked unless you purchase them separately and the game is incredibly easy. Like so easy it's not challenging enough to be fun. I've had it for a couple months and have played exactly 1 round of golf. Regretful purchase. Hot Shots this is not,Bummer,1483660800,,,
1.0,True,"12 25, 2015",A7HKGNXQD7LVP,B00CRN9UWC,Ricky T,"Without a doubt, the worst game ever. Poorly programmed, poorly executed, and ruined by EA nonsense. Now they have killed Maxis. This shows how terrible of a company EA is.",EA ruins games,1451001600,,{'Platform:': ' PC'},
1.0,True,"11 22, 2014",AXGPU830TXJ86,B00JUI8HJ4,Bitofinger,"So, to start off with a comparison, Dragon Age: Origins was one of the better games I have ever played; not so much for polished graphics or even exceptional game-play, but for the acting, witty dialogue, and compelling storyline.  The voices were extremely well done, and true-to-life believable.

Morrigan oozed potent sensuality with every word, but could turn on a dime with biting sarcasm.  Alistair's combination of loyalty, humor, and innocence were perfectly portrayed in his character's tone and timing.  Sten came off exceptionally well as the seemingly emotionless giant who was both teased to embarrassment by Leliana's coy playfulness, and secretly driven mad with desire by Morrigan's enthralling beauty.  Zevran was by far the quickest and easiest lay in the game, and his Hispanic accent and lover boy charm were in no way overacted.  Shale [spoiler alert] screamed ""flaming homosexual"" with every nuance of speech and every fretful concern over fashion, until you found out he was a she.

It seemed as if every character was portrayed with Oscar-potential acting.  The dialogue was witty even while being a bit juvenile; it had a sharp comedic edge, yet often a surprising sensibility.

Now for the horror that is Dragon Age: Inquisition.

Whenever I see an entertainment industry product so poorly done, I cannot help but ask myself, WHAT WERE THESE PEOPLE THINKING?

This is - BY FAR AND AWAY - the most artistically repulsive work of software fiction I've ever witnessed.  As other reviewers have noted, the shimmering, plasticine hair will drive you to absolute distraction, and make you want to pull out your own hair so you don't have to ever look at hair again.  HAIR, HAIR, HAIR!

Try to imagine - if you dare - melting a giant ball of plastic, placing the disgusting goop on top of someone's head so that it molds perfectly into a hair-like structure, and then, once it hardens to an immoveable, globulous mass, polishing the already bright helmet to the point that it outshines ALL other objects in the game, and that even the slightest movement bombards your eyes with a multitude of light flashes from the top of every character's head - EVEN THE BALD ONES!

I'm not sure how much worse it could get, but here's the ironic part: in some of the cut scenes, the hair is normal.  That tells me the shiny shine-shine is a disturbing attempt at some sort of extreme artistic device, but in truth it comes off as being derived from the never-ending war against consumer attention deficit.

Anyway, the rest of the game is equally atrocious in combat and looting mechanics, NPC interactions, story lines, dialogue, and, worst of all, voice acting.  These can all be summed up in two words: patently awful.  Not to mention that Inquisition is ABSOLUTELY an unfinished product, loaded with glitches.

I will add that you should take game's epilepsy warning seriously.  The game-play is so clunky (as other reviewers have said) and jerky that after playing about 8 hours over the course of 3 days, my vision seemed to be adversely affected.  I don't believe this is a frame rate issue, as I have a reasonably fast computer, and I tried all levels of graphic settings, to no avail.

It really never crossed my mind that the developers could $%^& things up THIS BAD.  What a fantastic disappointment.

Here are a few more examples of how this game is an abomination in every way.

Loading freeze:
So you start the game and get to the main menu.  You click on the top selection, ""Continue"", and nothing happens.  You click again.  You hit escape.  You close the annoying Origin DRM window.  You click the big red X (if in Windows platform, and in windowed mode). Doesn't matter - you're frozen.  This happens maybe once every five or six loads.  Task Manager is your only option.  By the way, you CANNOT play Inquisition without Origin up and running.  Yet another irritation, as if this game needed more.

Combat:
So you're getting slaughtered early in a battle, but you can't figure out why.  Three members of your party are all but dead, while a fourth remains healthy as a horse.  Well, that's because he or she got stuck a couple hundred yards away on a piece of rock about 1/8-inch tall.  Oops.

Looting:
So you go to pick up some loot.  You're a few feet away?  Okay, go walk over to it.  Still not close enough?  Stand on top of it.  Still can't pick it up?  Oh wait, that's because you're not FACING the loot.  Silly me, I didn't know my brain-dead character was spatially challenged.  Very much UNLIKE Origins, where, if you could click on it, your character would have the sense to WALK over to it, even from relatively far away, and turn THEMSELVES in the proper direction.  Imagine that. Dragon Age II made looting even easier, with an ultra fast keyboard shortcut.  Congratulations, BioWare; you've reversed almost 6 years of RPG progress, not to mention two major iterations of your own product.

Artwork:
So about 90% of the graphic design - everything from walls to grass to rock to skin to clothing - has almost as much shimmer as the disastrous hair.  At first glance, it looks as though the entire kingdom endured a recent hurricane, and everything is still wet.  I heard a calumnious rumor that the game's illustrators were orangutans hired at 5 bananas per day.  I can neither confirm nor deny its veracity.

Climbing and jumping:
So you're walking along, and there's a small hill you need to climb.  It's tiny, not even as high as your ankle.  But your character stubbornly refuses to move forward.  So you jump.  And.............................. that's it.  You hover in mid air with your knees up to your chest. Permanently.  You can look at the world around you (ooh, more shininess!!!).  You can switch characters.  You can look at your inventory, your map, your journal, etc.  Doesn't matter - the jumper stays jumped.  Hope you saved recently.

Ambient Dialogue:
So you're tooling along, minding your own business, when you hear prepubescent sparring between party members.

Iron Bull: ""Hey, that was some nice work back there, with that shield bashing.""

Cassandra: ""And you as well.""

Iron Bull: ""Are you as turned on as I am right now?""

Cassandra: ""Huh?""

Iron Bull: ""That's probably impossible anyway.""

Okay, so we're all back in 6th grade, and little Tommy gets really excited when the bigger boys make lewd comments about ""it"".  He doesn't understand these things yet, but they make him all hot and bothered.

Run, don't walk, away... just run.

And if you didn't run, this is the point where you ask yourself, ""I paid seventy dollars FOR THIS???""",Disgrace to the name Dragon Age,1416614400,30,"{'Edition:': ' Deluxe', 'Platform:': ' PC'}",
1.0,False,"03 16, 2010",A3284KYDZ00BZA,B00452VGZW,Erich Maria Remarque,"Requires a persistent internet connection at all times. I repeat, you must have a constant internet connection 100% of the time to play. If you get disconnected, the game stops working. You will be blocked from playing this game on a laptop whose wireless internet connectivity might fluctuate. You cannot play this game on a car trip, or at the airport, or on the plane, or anywhere else where there is no uninterrupted broadband internet connectivity 100% of the time.

The above restrictions apply to both single-player and multi-player modes. Additionally, the game is locked into a single account. This is customer abuse at its finest.

Here is what it says at the back of the box (in very, very small print):

""Persistent internet connection, EA account, registration with enclosed serial code, and acceptance of end user license agreement required to play.""

You have been warned!",Beware. Comes with extreme DRM.,1268697600,384,{'Platform:': ' PC'},
1.0,False,"02 15, 2011",A3BXMKBH8QNHZS,B003IEBO9Q,"Emma, The Reviewer","In Marvel vs Capcom 3, the screen becomes so clustered with lights and explosions and random word pop-ups and hypnotic backgrounds, while the stages can be very dark, it becomes hard to see anything. The background music is some weird techno, and the voice-acting is loud and annoying -- It's seizure inducing. I wouldn't be surprised if this game causes blindness. This is the first fighting game I've ever played but I think you're supposed to SEE what's happening to your character and not have your ears destroyed by techno and bad voice acting.

Now there's another thing I want to talk about : No one cares about Deadpool anymore. Shuma Gorath is [----]. Is Captain America portrayed by Bucky or Rogers in this game? Guess we'll never know. Idiotic Capcom. Jean Grey has been dead forever. She-hulk?

How could they possibly leave out : The Sentry, Fantomex (Morrison is God), The Hood (Dormammu was his peon for years), Hope (Second Coming?), Bastion (Over the Sentinel), Moon Knight, Magik (My favorite X Character), Daredevil (Best Character Ever?), Osbourn (Iron Patriot? H.A.M.M.E.R?) The entire Fantastic Four, The Punisher, Ronald McDonald and lastly, Cyclops.

They've got Taskmaster, but no Cyclops. Cyclops, apparently, isn't important. He's ONLY the leader of Mutantkind. 'Kay, so we have X-23. X-23. X-23, a character that has been rammed down our throats for the last few years or so. X-23 but no Cyclops. X-23 over Cyclops? Really?!? Really, Capcom? Really?! This roster is a joke. AND IT'S ONLY FITTING... It's only fitting that Marvel would even be involved in all of this, because they've been getting completely destroyed by Morrison, Winick and Johns. HAHAHA.

Over the past few years Capcom has made some terrible, terrible games (Devil May Cry 4, Resident Evil 5, Street Fighter 4, Bionic Commando, Darkvoid, Megaman 10, Monster Hunter, Deadrising 2). But this... this game disgusts me.

It's time to hang it up, Capcom.","Welp, Looks like I'm done with Capcom.",1297728000,20,{'Format:': ' Video Game'},
1.0,True,"11 3, 2014",A1KPVSXSMO0JKU,B005FMLXW2,David T,"I needed a Bluetooth headset for use with my phone, and I thought that getting a headset that was compatible with my Xbox would make things convenient.  My brother owns this same headset and he likes it, but mine was no good at all.

--USE WITH XBOX--
It seems that a common problem with these wireless headsets when used with Xbox is a high-pitched noise experienced by other users when the wireless headset is muted.  Another problem is that you practically have to shout into the microphone in order to be heard.  When I tested this product on Xbox Live, I was informed that my voice sounded faint or distant, even though I had the microphone within a half-inch of my lips.
I had a difficult time when switching between Xbox and phone use, as the headset would not connect very quickly to either, and would not allow people to hear me.  The high-pitched noise experienced by others was also present, but only on the Xbox side.

--USE OVER BLUETOOTH--
The Bluetooth range on this headset is terrible.  It seems that even the thinnest of materials interrupts the signal between the headset and the connected device.  When the headset was in my ear and my phone was in my front pocket, the signal would become intermittent.  I couldn't hear the person that I was on the phone with, and they couldn't hear me.  In order to keep the connection strong, I would have to hold my phone chest-level, which defeats the purpose of a headset.

--COMFORT--
The headset is not designed to fit into your ear canal, but is instead designed to fit into the opening of your ear.  I found that the headset was prone to falling out of my ear.  The rubber that went around the speaker irritated my ear beyond belief and I would have to reach up and scratch the inside of my ear.  The loop that fits around the outside of the ear was a little big for me and didn't hold on tightly enough for my taste.

--OVERALL--
I cannot recommend this product at all.  It's uncomfortable, has spotty connectivity, and the microphone is awful.  The microphone has no noise cancelling and I received frequent complaints about wind noise, even when there was no wind to speak of.  The only good thing about this headset was the battery life (around 8 hours), which isn't even that great to begin with.

Save your money and use a wired headset for Xbox and a good Bluetooth headset for your phone.  I recommend Jabra Play for your phone.","Poor quality, bad microphone, uncomfortable design.",1414972800,3,,
1.0,False,"03 17, 2017",A3JEVZ5S1QB2ED,B00JUFT1F6,DarthViper,"I really wanted to like this game, I loved the first DA, but it turned out to be like torture for me.  I played about 10% of the game before I gave up, I just couldn't take it anymore.  The story is incredibly lame, the characters you want to delete after the first meeting, ie. they suck, and the gameplay is not very good.  What the heck happened between the first game, which was great, to now is a mystery, but they definitely screwed the pooch on this one.",Bad,1489708800,,{'Format:': ' Video Game'},
1.0,True,"04 6, 2014",A2SB4W5EIVRKAC,B00C27SCC2,Jason S,"Terribly boring. I have almost every next gen game out for both consoles and this rates the worst thus far for me, sad. I really wanted to like it.",bad...,1396742400,,{'Format:': ' Video Game'},
1.0,False,"01 19, 2016",A1PBRAUZOKA93W,B0016B28WU,Running Wolf,It was probably a great game back when it came out. But now someone has hacked the website for this game in multiplayer mode to pieces. you may get to play a normal game or not. You could jump off the map into the air. or a number of other hacks. Not worth the time to try to get to a good normal game.,Don't Buy This Game! HACKED UP ONLINE PLAY.,1453161600,,{'Format:': ' Video Game'},
1.0,True,"02 13, 2011",A15YLKRP7ESNWP,B0016NRS8M,Jack H.,"Clunky, buggy, irritating.  If you can manage past the weak story structure and tedium of the game engine my hat is off to you.  The Two Worlds 2 experience is not engaging, in fact so many times the game mechanics break any time of immersion I cannot imagine how anyone would consider themselves in the hero's role.

  The game starts off with an impressive cinematic that promises some interesting game environments, enjoyable combat, and an interesting experience overall.  Then when you start playing the game is so disappointing.  The environments are beautifully styled until you are out in them and realize it really isn't all that impressive to see grass and pixelated trees obscuring your view.  I love how your enemies whether beast or humanoid have ""weaknesses"" that you have no clue about unless you can decipher  the icons representing their strengths.  I've got a 50in HDMI and I can make no sense of what the game is trying to tell me.

  Once you actually get into combat your character prances around like a cheerleader twirling batons, or realizing you need to be within ten feet of an animal to use your bow, or use the endlessly repetitive spell combat. Your enemies either block, or practice incredible frustrating hit and run attacks.  These are not frustrating because they complicate combat, the enemies are typically incredibly weak but they feel the last moments of their life are better spent complicating you actions than fighting or fleeing.

  There are a few bright sides, like an interesting crafting mechanic and rich depth in defining your character.  Sadly when it comes down to it you are not unique, you are still the same cookie-cutter hero the game needs.  If you've played The Witcher, Dragon Age, Elder Scrolls; this falls far short and does not make an enjoyable experience.",Skip It,1297555200,13,{'Platform:': ' Xbox 360'},
1.0,True,"05 10, 2016",A1JO2IPCY1J4PS,B0015AARJI,Honest Frizz,"Updated Review:  4 months after I purchased 2 of these controllers, both of them are now not working.  They won't stay connected to my PS3.  They stay connected for a couple minutes, then they disconnect and ""turn off"".  I have charged both of them for several hours, I have reset both of them (pinhole button on back), and still they don't stay connected for more than 1-2 minutes.  This is VERY frustrating!  I purchased the original Sony brand controllers with the expectation that they would last for a while (definitely more than 4 months).  Now I have 2 useless controllers that are outside of the return time.

Original Review:I bought a pair of these to replace some ""knock-off"" controllers I purchased not too long ago that are already failing.  I learned my lesson about trying to save money when it comes to technology.  Sometimes it's worth it, but most times it's not.  In this case, just coughing up the extra dough to purchase the original equipment is well worth it.",Updated Review:  These have FAILED,1462838400,9,,
1.0,False,"11 15, 2002",A1HL50YP5W9CQ1,B00000PLUW,Amazon Customer,"This is a very dissapointing system. Slow loading, Bad graphics, and terrible games. But it has a good controller.",It wasn't even good while it was in style,1037318400,3,,
1.0,True,"07 4, 2016",A1KE1O6IAA16VU,B00KW9WMJQ,Ambo,"I paid only .49 for this, and still struggled just to finish it.  The graphics are awful, there are far too many HOGs, and they are all ridiculously dark, with the same objects appearing over and over.  The story is disjointed and leaves little to the imagination.  Wish I'd passed up the bargain.",Just Awful,1467590400,,,
1.0,False,"01 5, 2017",A1YXB4TL31XP7Z,B01F9HMO2K,Dropsy,Garbage,Garbage,1483574400,,"{'Edition:': ' Standard', 'Platform:': ' PlayStation 4'}",
1.0,False,"11 1, 2016",A12EJDWH8Q0ANH,B00ZM6I1DU,Anthony Carrington,I rely couldn't get into this game it way to cartoonish for me. The voice acting is annoying and the stacking mechanic is silly.,Avoid like the plague.,1477958400,2,{'Format:': ' Video Game'},
1.0,True,"01 24, 2015",ADSGGTNHCLFQJ,B006PP4136,Johnnygamer,Piece of crap!,One Star,1422057600,,,
1.0,False,"08 10, 2012",A3N9KUZ1FSD4CK,B00164TDUC,Chewd,"I played (and enjoyed) most all of the TW games up till this one.

Then the ""coach"" in TW09 started taking away my skill points every time i borked a shot... reducing my stats... resulting in more borked shots... rinse repeat.

Thanks for sucking all the fun out of the SP game just to ""balance"" the MP experience.

MAN i hate EA sports.. is there any sport that they don't monopolize with a lackluster series?",The game that stopped me from buying future TW games,1344556800,,{'Format:': ' Video Game'},
1.0,False,"01 15, 2010",A1PT9KFDR6VGE7,B0012N5MIO,A. Tylka,"Capcom is all about milking the franchise, so it's no surprise that SUPER Street Fighter IV is launching 13 months after SF IV. A few ""new"" characters, lots of tweaking, and rock bottom low price to get you to buying this weak update. If they needed to tweak:

 - The impressive new roster includes classic combatants from previous Street Fighter games like T. Hawk as well as all-new characters such as the mysterious and deadly female fighter, Juri.

- Super Street Fighter IV adds new Ultra Combos and advancements to the state of the art online matchmaking and online game play introduced in Street Fighter IV with numerous additional features

 - Super Street Fighter IV takes many of the groundbreaking features introduced in Street Fighter IV and refines everything to deliver the ultimate vision of Street Fighter to fans the world over.

It's shouldn't be a new stand alone game, it should be a free expansion update for what is clearly a lack of game testing before it went to market.",Why buy if Super Street Fight IV is on the way?,1263513600,2,{'Format:': ' Video Game'},
1.0,False,"10 31, 2008",A1KUOSQ1YZZFTU,B000HKP88C,a_friend_usa,"This game is too difficult for me which made the experience frustrating and ultimately unplayable. I see others find it too easy. This could have been easily solved by having 5 levels of difficulty from very easy to very hard. The game would appeal to a much greater consumer base and would have had much greater sales if it had 5 difficulty levels.

The other major related problem is that one cannot save in the middle of a mission. Because of this one must repeat the same driving sequence over and over to finally get through the hard part of the mission (ultimately I could not pass missions and had to stop playing the game).

Because of the two problems above, I find this game more frustration than fun. I will not buy any more games of this series or any games that do not have levels of difficulty (hopefully 5 levels).",Lack of difficulty levels makes it unplayable for me,1225411200,15,{'Format:': ' Video Game'},
1.0,True,"11 29, 2015",AGGHK20EICMK4,B001CMIUYS,Ronnie,The WORSE FF I've ever owned.,One Star,1448755200,,{'Format:': ' Video Game'},
